fatura_id,cliente,erro,data_hora
1,Carlos Eduardo Lima,"Message: 
Stacktrace:
	chromedriver!GetHandleVerifier [0x91cdf3+10b03]
	chromedriver!GetHandleVerifier [0x91cf24+10c34]
	chromedriver!(No symbol) [0x702120]
	chromedriver!(No symbol) [0x74abca]
	chromedriver!(No symbol) [0x74ae6b]
	chromedriver!(No symbol) [0x78d0b2]
	chromedriver!(No symbol) [0x76db54]
	chromedriver!(No symbol) [0x78a9a5]
	chromedriver!(No symbol) [0x76d8a6]
	chromedriver!(No symbol) [0x740229]
	chromedriver!(No symbol) [0x740fe4]
	chromedriver!GetHandleVerifier [0xb848b9+2785c9]
	chromedriver!GetHandleVerifier [0xb7feb5+273bc5]
	chromedriver!GetHandleVerifier [0xb9e06b+291d7b]
	chromedriver!GetHandleVerifier [0x935cc8+299d8]
	chromedriver!GetHandleVerifier [0x93d9fd+3170d]
	chromedriver!GetHandleVerifier [0x9258c8+195d8]
	chromedriver!GetHandleVerifier [0x925a92+197a2]
	chromedriver!GetHandleVerifier [0x90ee9a+2baa]
	KERNEL32!BaseThreadInitThunk [0x76e75d49+19]
	ntdll!RtlInitializeExceptionChain [0x77cdd83b+6b]
	ntdll!RtlGetAppContainerNamedObjectPath [0x77cdd7c1+231]
",26/03/2026 22:40:12
2,Ana Paula Souza,"Message: invalid session id: session deleted as the browser has closed the connection
from disconnected: not connected to DevTools
  (Session info: chrome=146.0.7680.81); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#invalidsessionidexception
Stacktrace:
	chromedriver!GetHandleVerifier [0x91cdf3+10b03]
	chromedriver!GetHandleVerifier [0x91cf24+10c34]
	chromedriver!(No symbol) [0x702120]
	chromedriver!(No symbol) [0x6f108e]
	chromedriver!(No symbol) [0x70fbe9]
	chromedriver!(No symbol) [0x77450c]
	chromedriver!(No symbol) [0x78a309]
	chromedriver!(No symbol) [0x76d8a6]
	chromedriver!(No symbol) [0x740229]
	chromedriver!(No symbol) [0x740fe4]
	chromedriver!GetHandleVerifier [0xb848b9+2785c9]
	chromedriver!GetHandleVerifier [0xb7feb5+273bc5]
	chromedriver!GetHandleVerifier [0xb9e06b+291d7b]
	chromedriver!GetHandleVerifier [0x935cc8+299d8]
	chromedriver!GetHandleVerifier [0x93d9fd+3170d]
	chromedriver!GetHandleVerifier [0x9258c8+195d8]
	chromedriver!GetHandleVerifier [0x925a92+197a2]
	chromedriver!GetHandleVerifier [0x90ee9a+2baa]
	KERNEL32!BaseThreadInitThunk [0x76e75d49+19]
	ntdll!RtlInitializeExceptionChain [0x77cdd83b+6b]
	ntdll!RtlGetAppContainerNamedObjectPath [0x77cdd7c1+231]
",26/03/2026 22:40:36
